year,file,sheet,Project ID,Media Title,Title,Contact Investigator,Organisation,Panel,Category,Funding,Media Summary,Summary
2024,2024-Marsden-Fund-announcement-supplement_v10.xlsx,Marsden Fund announcements 2024,Project ID,Media Title,Title,Contact Investigator,Organisation,Panel,Category,Funding (ex GST),Media Summary,Summary
2023,2023_Marsden_Announcements_New.xlsx,Marsden_Fund_Announcement_2023,Project ID,,Project,Contact Investigator,Institution,Panel,Category,Funding (ex GST),,Abstract
2022,2022_Marsden_Fund_announcement_supplement-v14.xlsx,Marsden_Fund_announcements_2022,Project ID,,Project,Contact Investigator,Institution,Panel,Category,Funding (ex GST),,Abstract
2021,2021-Marsden-Fund-announcement-supplement-with-websheet-v3.xlsx,Marsden Fund announcements 2021,Project ID,,Project,Contact Investigator,Institution,Panel,Category,Funding (ex GST),,Abstract
2020,2020-Marsden-Fund-announcement-supplement_corrected.xlsx,Marsden Fund announcements 2020,Project ID,,Project,Contact Investigator,Institution,Panel,Category,Funding (ex GST),,Abstract
2019,2019-Marsden-Fund-awarded-supplement_with-websheet-v2.xlsx,Marsden announcements 2019,Project ID,,Project,Contact Investigator,Institution,Panel,Category,Funding (ex GST),,Abstract
2018,Marsden-2018-annoucement-supplement.xlsx,Marsden announcements 2018,Project ID,,Project,Contact Investigator,Institution,Panel,Category,Funding (ex GST),,Abstract
2017,Marsden-2017-annoucement-supplement-v2.xlsx,2017 Contact Abstracts,Project ID,,Project,Contact Investigator,Institution,Panel,Category,Funding (ex GST),,Abstract
2016,Marsden-2016-annoucement-supplement.xlsx,2016 Contract Abstracts,Project ID,,Project,Contact Investigator,Institution,Panel,,Funding (ex GST),,Abstract
2015,Marsden-Announcements-2008-2017.xlsx,Marsden announcements 2008-2017,Project ID,,Project,Contact Investigator,Institution,Panel,Category,Funding (ex GST),,Abstract
